gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
B200-SXM-192GB,1,2,bfloat16,1,14
B200-SXM-192GB,1,2,bfloat16,16,16
B200-SXM-192GB,1,2,bfloat16,64,17
B200-SXM-192GB,1,2,bfloat16,256,21
B200-SXM-192GB,1,2,bfloat16,1024,15
B200-SXM-192GB,1,2,bfloat16,1536,16
B200-SXM-192GB,1,2,bfloat16,2048,18
B200-SXM-192GB,1,2,bfloat16,3072,26
B200-SXM-192GB,1,2,bfloat16,4096,36
B200-SXM-192GB,1,2,bfloat16,6144,38
B200-SXM-192GB,1,2,bfloat16,8192,41
B200-SXM-192GB,1,2,bfloat16,12288,158
B200-SXM-192GB,1,2,bfloat16,16384,52
B200-SXM-192GB,1,2,bfloat16,24576,66
B200-SXM-192GB,1,2,bfloat16,32768,80
B200-SXM-192GB,1,2,bfloat16,65536,146
B200-SXM-192GB,1,2,bfloat16,131072,281
B200-SXM-192GB,1,2,bfloat16,262144,525
B200-SXM-192GB,1,2,bfloat16,524288,1008
B200-SXM-192GB,1,2,bfloat16,1048576,1908
B200-SXM-192GB,1,4,bfloat16,1,17
B200-SXM-192GB,1,4,bfloat16,16,22
B200-SXM-192GB,1,4,bfloat16,64,23
B200-SXM-192GB,1,4,bfloat16,256,26
B200-SXM-192GB,1,4,bfloat16,1024,18
B200-SXM-192GB,1,4,bfloat16,1536,44
B200-SXM-192GB,1,4,bfloat16,2048,26
B200-SXM-192GB,1,4,bfloat16,3072,29
B200-SXM-192GB,1,4,bfloat16,4096,37
B200-SXM-192GB,1,4,bfloat16,6144,43
B200-SXM-192GB,1,4,bfloat16,8192,45
B200-SXM-192GB,1,4,bfloat16,12288,57
B200-SXM-192GB,1,4,bfloat16,16384,69
B200-SXM-192GB,1,4,bfloat16,24576,108
B200-SXM-192GB,1,4,bfloat16,32768,117
B200-SXM-192GB,1,4,bfloat16,65536,189
B200-SXM-192GB,1,4,bfloat16,131072,360
B200-SXM-192GB,1,4,bfloat16,262144,699
B200-SXM-192GB,1,4,bfloat16,524288,1356
B200-SXM-192GB,1,4,bfloat16,1048576,2616
B200-SXM-192GB,1,8,bfloat16,1,25
B200-SXM-192GB,1,8,bfloat16,16,26
B200-SXM-192GB,1,8,bfloat16,64,27
B200-SXM-192GB,1,8,bfloat16,256,28
B200-SXM-192GB,1,8,bfloat16,1024,28
B200-SXM-192GB,1,8,bfloat16,1536,31
B200-SXM-192GB,1,8,bfloat16,2048,32
B200-SXM-192GB,1,8,bfloat16,3072,45
B200-SXM-192GB,1,8,bfloat16,4096,53
B200-SXM-192GB,1,8,bfloat16,6144,58
B200-SXM-192GB,1,8,bfloat16,8192,70
B200-SXM-192GB,1,8,bfloat16,12288,83
B200-SXM-192GB,1,8,bfloat16,16384,169
B200-SXM-192GB,1,8,bfloat16,24576,125
B200-SXM-192GB,1,8,bfloat16,32768,160
B200-SXM-192GB,1,8,bfloat16,65536,276
B200-SXM-192GB,1,8,bfloat16,131072,398
B200-SXM-192GB,1,8,bfloat16,262144,716
B200-SXM-192GB,1,8,bfloat16,524288,1347
B200-SXM-192GB,1,8,bfloat16,1048576,2631
