gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
B200-SXM-192GB,1,2,bfloat16,1,18
B200-SXM-192GB,1,2,bfloat16,16,18
B200-SXM-192GB,1,2,bfloat16,64,19
B200-SXM-192GB,1,2,bfloat16,256,25
B200-SXM-192GB,1,2,bfloat16,1024,31
B200-SXM-192GB,1,2,bfloat16,1536,17
B200-SXM-192GB,1,2,bfloat16,2048,17
B200-SXM-192GB,1,2,bfloat16,3072,19
B200-SXM-192GB,1,2,bfloat16,4096,20
B200-SXM-192GB,1,2,bfloat16,6144,24
B200-SXM-192GB,1,2,bfloat16,8192,29
B200-SXM-192GB,1,2,bfloat16,12288,40
B200-SXM-192GB,1,2,bfloat16,16384,50
B200-SXM-192GB,1,2,bfloat16,24576,53
B200-SXM-192GB,1,2,bfloat16,32768,74
B200-SXM-192GB,1,2,bfloat16,65536,130
B200-SXM-192GB,1,2,bfloat16,131072,233
B200-SXM-192GB,1,2,bfloat16,262144,431
B200-SXM-192GB,1,2,bfloat16,524288,824
B200-SXM-192GB,1,2,bfloat16,1048576,1278
B200-SXM-192GB,1,4,bfloat16,1,24
B200-SXM-192GB,1,4,bfloat16,16,27
B200-SXM-192GB,1,4,bfloat16,64,24
B200-SXM-192GB,1,4,bfloat16,256,24
B200-SXM-192GB,1,4,bfloat16,1024,34
B200-SXM-192GB,1,4,bfloat16,1536,22
B200-SXM-192GB,1,4,bfloat16,2048,50
B200-SXM-192GB,1,4,bfloat16,3072,52
B200-SXM-192GB,1,4,bfloat16,4096,25
B200-SXM-192GB,1,4,bfloat16,6144,76
B200-SXM-192GB,1,4,bfloat16,8192,31
B200-SXM-192GB,1,4,bfloat16,12288,39
B200-SXM-192GB,1,4,bfloat16,16384,47
B200-SXM-192GB,1,4,bfloat16,24576,63
B200-SXM-192GB,1,4,bfloat16,32768,75
B200-SXM-192GB,1,4,bfloat16,65536,132
B200-SXM-192GB,1,4,bfloat16,131072,235
B200-SXM-192GB,1,4,bfloat16,262144,439
B200-SXM-192GB,1,4,bfloat16,524288,844
B200-SXM-192GB,1,4,bfloat16,1048576,1532
B200-SXM-192GB,1,8,bfloat16,1,30
B200-SXM-192GB,1,8,bfloat16,16,29
B200-SXM-192GB,1,8,bfloat16,64,30
B200-SXM-192GB,1,8,bfloat16,256,31
B200-SXM-192GB,1,8,bfloat16,1024,46
B200-SXM-192GB,1,8,bfloat16,1536,48
B200-SXM-192GB,1,8,bfloat16,2048,25
B200-SXM-192GB,1,8,bfloat16,3072,27
B200-SXM-192GB,1,8,bfloat16,4096,33
B200-SXM-192GB,1,8,bfloat16,6144,98
B200-SXM-192GB,1,8,bfloat16,8192,101
B200-SXM-192GB,1,8,bfloat16,12288,44
B200-SXM-192GB,1,8,bfloat16,16384,52
B200-SXM-192GB,1,8,bfloat16,24576,69
B200-SXM-192GB,1,8,bfloat16,32768,84
B200-SXM-192GB,1,8,bfloat16,65536,141
B200-SXM-192GB,1,8,bfloat16,131072,244
B200-SXM-192GB,1,8,bfloat16,262144,445
B200-SXM-192GB,1,8,bfloat16,524288,849
B200-SXM-192GB,1,8,bfloat16,1048576,1560
