gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H100-SXM-80GB,1,2,bfloat16,1,27
H100-SXM-80GB,1,2,bfloat16,16,22
H100-SXM-80GB,1,2,bfloat16,64,25
H100-SXM-80GB,1,2,bfloat16,256,25
H100-SXM-80GB,1,2,bfloat16,1024,21
H100-SXM-80GB,1,2,bfloat16,1536,21
H100-SXM-80GB,1,2,bfloat16,2048,28
H100-SXM-80GB,1,2,bfloat16,3072,87
H100-SXM-80GB,1,2,bfloat16,4096,33
H100-SXM-80GB,1,2,bfloat16,6144,39
H100-SXM-80GB,1,2,bfloat16,8192,46
H100-SXM-80GB,1,2,bfloat16,12288,59
H100-SXM-80GB,1,2,bfloat16,16384,76
H100-SXM-80GB,1,2,bfloat16,24576,106
H100-SXM-80GB,1,2,bfloat16,32768,139
H100-SXM-80GB,1,2,bfloat16,65536,249
H100-SXM-80GB,1,2,bfloat16,131072,465
H100-SXM-80GB,1,2,bfloat16,262144,889
H100-SXM-80GB,1,2,bfloat16,524288,2010
H100-SXM-80GB,1,2,bfloat16,1048576,3222
H100-SXM-80GB,1,4,bfloat16,1,27
H100-SXM-80GB,1,4,bfloat16,16,21
H100-SXM-80GB,1,4,bfloat16,64,25
H100-SXM-80GB,1,4,bfloat16,256,25
H100-SXM-80GB,1,4,bfloat16,1024,20
H100-SXM-80GB,1,4,bfloat16,1536,21
H100-SXM-80GB,1,4,bfloat16,2048,26
H100-SXM-80GB,1,4,bfloat16,3072,32
H100-SXM-80GB,1,4,bfloat16,4096,98
H100-SXM-80GB,1,4,bfloat16,6144,48
H100-SXM-80GB,1,4,bfloat16,8192,60
H100-SXM-80GB,1,4,bfloat16,12288,79
H100-SXM-80GB,1,4,bfloat16,16384,95
H100-SXM-80GB,1,4,bfloat16,24576,131
H100-SXM-80GB,1,4,bfloat16,32768,171
H100-SXM-80GB,1,4,bfloat16,65536,324
H100-SXM-80GB,1,4,bfloat16,131072,613
H100-SXM-80GB,1,4,bfloat16,262144,1183
H100-SXM-80GB,1,4,bfloat16,524288,2318
H100-SXM-80GB,1,4,bfloat16,1048576,4520
H100-SXM-80GB,1,8,bfloat16,1,24
H100-SXM-80GB,1,8,bfloat16,16,25
H100-SXM-80GB,1,8,bfloat16,64,25
H100-SXM-80GB,1,8,bfloat16,256,23
H100-SXM-80GB,1,8,bfloat16,1024,49
H100-SXM-80GB,1,8,bfloat16,1536,34
H100-SXM-80GB,1,8,bfloat16,2048,39
H100-SXM-80GB,1,8,bfloat16,3072,45
H100-SXM-80GB,1,8,bfloat16,4096,51
H100-SXM-80GB,1,8,bfloat16,6144,61
H100-SXM-80GB,1,8,bfloat16,8192,75
H100-SXM-80GB,1,8,bfloat16,12288,97
H100-SXM-80GB,1,8,bfloat16,16384,118
H100-SXM-80GB,1,8,bfloat16,24576,247
H100-SXM-80GB,1,8,bfloat16,32768,198
H100-SXM-80GB,1,8,bfloat16,65536,323
H100-SXM-80GB,1,8,bfloat16,131072,579
H100-SXM-80GB,1,8,bfloat16,262144,1095
H100-SXM-80GB,1,8,bfloat16,524288,2119
H100-SXM-80GB,1,8,bfloat16,1048576,4015
