gpu,num_nodes,num_gpus_per_node,dtype,size(kb),time(us)
H100-SXM-80GB,1,2,bfloat16,1,32
H100-SXM-80GB,1,2,bfloat16,16,34
H100-SXM-80GB,1,2,bfloat16,64,32
H100-SXM-80GB,1,2,bfloat16,256,34
H100-SXM-80GB,1,2,bfloat16,1024,40
H100-SXM-80GB,1,2,bfloat16,1536,33
H100-SXM-80GB,1,2,bfloat16,2048,32
H100-SXM-80GB,1,2,bfloat16,3072,30
H100-SXM-80GB,1,2,bfloat16,4096,79
H100-SXM-80GB,1,2,bfloat16,6144,32
H100-SXM-80GB,1,2,bfloat16,8192,33
H100-SXM-80GB,1,2,bfloat16,12288,42
H100-SXM-80GB,1,2,bfloat16,16384,52
H100-SXM-80GB,1,2,bfloat16,24576,67
H100-SXM-80GB,1,2,bfloat16,32768,81
H100-SXM-80GB,1,2,bfloat16,65536,142
H100-SXM-80GB,1,2,bfloat16,131072,272
H100-SXM-80GB,1,2,bfloat16,262144,508
H100-SXM-80GB,1,2,bfloat16,524288,969
H100-SXM-80GB,1,2,bfloat16,1048576,1714
H100-SXM-80GB,1,4,bfloat16,1,37
H100-SXM-80GB,1,4,bfloat16,16,36
H100-SXM-80GB,1,4,bfloat16,64,38
H100-SXM-80GB,1,4,bfloat16,256,36
H100-SXM-80GB,1,4,bfloat16,1024,52
H100-SXM-80GB,1,4,bfloat16,1536,34
H100-SXM-80GB,1,4,bfloat16,2048,36
H100-SXM-80GB,1,4,bfloat16,3072,68
H100-SXM-80GB,1,4,bfloat16,4096,80
H100-SXM-80GB,1,4,bfloat16,6144,37
H100-SXM-80GB,1,4,bfloat16,8192,39
H100-SXM-80GB,1,4,bfloat16,12288,51
H100-SXM-80GB,1,4,bfloat16,16384,65
H100-SXM-80GB,1,4,bfloat16,24576,87
H100-SXM-80GB,1,4,bfloat16,32768,109
H100-SXM-80GB,1,4,bfloat16,65536,191
H100-SXM-80GB,1,4,bfloat16,131072,347
H100-SXM-80GB,1,4,bfloat16,262144,664
H100-SXM-80GB,1,4,bfloat16,524288,1277
H100-SXM-80GB,1,4,bfloat16,1048576,2429
H100-SXM-80GB,1,8,bfloat16,1,45
H100-SXM-80GB,1,8,bfloat16,16,46
H100-SXM-80GB,1,8,bfloat16,64,45
H100-SXM-80GB,1,8,bfloat16,256,47
H100-SXM-80GB,1,8,bfloat16,1024,53
H100-SXM-80GB,1,8,bfloat16,1536,54
H100-SXM-80GB,1,8,bfloat16,2048,61
H100-SXM-80GB,1,8,bfloat16,3072,67
H100-SXM-80GB,1,8,bfloat16,4096,82
H100-SXM-80GB,1,8,bfloat16,6144,51
H100-SXM-80GB,1,8,bfloat16,8192,51
H100-SXM-80GB,1,8,bfloat16,12288,56
H100-SXM-80GB,1,8,bfloat16,16384,126
H100-SXM-80GB,1,8,bfloat16,24576,99
H100-SXM-80GB,1,8,bfloat16,32768,124
H100-SXM-80GB,1,8,bfloat16,65536,213
H100-SXM-80GB,1,8,bfloat16,131072,574
H100-SXM-80GB,1,8,bfloat16,262144,917
H100-SXM-80GB,1,8,bfloat16,524288,1466
H100-SXM-80GB,1,8,bfloat16,1048576,2809
