gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,16,-1,-1,1,53,3996,1965,199.72,10585.16
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,32,-1,-1,1,46,3996,1965,199.72,9187.12
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,64,-1,-1,1,40,3996,1965,199.724,7988.959999999999
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,128,-1,-1,1,41,3996,1965,199.724,8188.683999999999
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,256,-1,-1,1,70,3996,1965,197.496,13824.720000000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,512,-1,-1,1,68,3996,1965,197.496,13429.728000000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,1024,-1,-1,1,57,3996,1965,197.583,11262.231
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,2048,-1,-1,1,66,3996,1965,197.583,13040.478
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,4096,-1,-1,1,71,3996,1965,197.895,14050.545
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,6144,-1,-1,1,94,3996,1965,197.895,18602.13
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,8192,-1,-1,1,215,3996,1965,199.109,42808.435000000005
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,12288,-1,-1,1,527,3996,1965,207.481,109342.487
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,16384,-1,-1,1,688,3996,1965,218.427,150277.77599999998
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,16,-1,-1,1,41,3996,1965,238.868,9793.588
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,32,-1,-1,1,55,3996,1965,238.868,13137.74
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,64,-1,-1,1,42,3996,1965,240.457,10099.194
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,128,-1,-1,1,40,3996,1965,240.457,9618.279999999999
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,256,-1,-1,1,49,3996,1965,240.448,11781.952000000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,512,-1,-1,1,63,3996,1965,240.448,15148.224
