gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,16,-1,-1,1,60,2619,1980,154.613,9276.78
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,32,-1,-1,1,60,2619,1980,154.74,9284.400000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,64,-1,-1,1,57,2619,1980,154.74,8820.18
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,128,-1,-1,1,58,2619,1980,154.87,8982.460000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,256,-1,-1,1,70,2619,1980,154.989,10849.23
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,512,-1,-1,1,64,2619,1980,154.989,9919.296
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,1024,-1,-1,1,63,2619,1980,155.254,9781.001999999999
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,2048,-1,-1,1,62,2619,1980,155.254,9625.748
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,4096,-1,-1,1,74,2619,1980,156.362,11570.788
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,6144,-1,-1,1,100,2619,1980,156.362,15636.199999999999
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,8192,-1,-1,1,208,2619,1980,161.211,33531.888000000006
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,12288,-1,-1,1,483,2619,1980,161.211,77864.913
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,16384,-1,-1,1,700,2619,1980,171.833,120283.1
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,16,-1,-1,1,60,2619,1980,201.161,12069.66
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,32,-1,-1,1,61,2619,1980,201.161,12270.821
