gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,16,-1,-1,1,65,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,32,-1,-1,1,156,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,64,-1,-1,1,63,3996,1965,256.514,16160.382000000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,128,-1,-1,1,122,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,256,-1,-1,1,84,3996,1965,256.522,21547.847999999998
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,512,-1,-1,1,58,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,1024,-1,-1,1,144,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,2048,-1,-1,1,215,3996,1965,256.753,55201.895
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,4096,-1,-1,1,78,3996,1965,256.753,20026.734
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,6144,-1,-1,1,122,3996,1965,259.113,31611.786
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,8192,-1,-1,1,216,3996,1965,263.257,56863.512
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,12288,-1,-1,1,528,3996,1965,263.257,138999.696
B200-SXM-192GB,bfloat16,gqa,2,1,128,1,16384,-1,-1,1,691,3996,1965,272.666,188412.206
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,16,-1,-1,1,87,3996,1965,293.91,25570.170000000002
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,32,-1,-1,1,69,3996,1965,298.084,20567.796
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,64,-1,-1,1,63,3996,1965,298.084,18779.292
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,128,-1,-1,1,54,3996,1965,298.182,16101.828000000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,256,-1,-1,1,63,3996,1965,298.182,18785.466
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,512,-1,-1,1,66,3996,1965,298.284,19686.744
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,1024,-1,-1,1,68,3996,1965,298.284,20283.311999999998
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,2048,-1,-1,1,70,3996,1965,297.915,20854.050000000003
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,4096,-1,-1,1,119,3996,1965,297.915,35451.885
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,6144,-1,-1,1,256,3996,1965,301.31,77135.36
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,8192,-1,-1,1,342,3996,1965,308.734,105587.02799999999
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,12288,-1,-1,1,613,3996,1965,308.734,189253.94199999998
B200-SXM-192GB,bfloat16,gqa,2,1,128,2,16384,-1,-1,1,1063,3996,1965,334.9665,356069.3895
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,16,-1,-1,1,49,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,32,-1,-1,1,51,3996,1965,368.251,18780.801
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,64,-1,-1,1,58,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,128,-1,-1,1,56,3996,1965,368.251,20622.055999999997
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,256,-1,-1,1,207,3996,1965,347.369,71905.383
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,512,-1,-1,1,59,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,1024,-1,-1,1,61,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,2048,-1,-1,1,192,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,4096,-1,-1,1,297,3996,1965,342.141,101615.87700000001
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,6144,-1,-1,1,336,3996,1965,351.533,118115.088
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,8192,-1,-1,1,520,3996,1965,351.533,182797.16
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,12288,-1,-1,1,1013,3996,1965,378.09749999999997,383012.76749999996
B200-SXM-192GB,bfloat16,gqa,2,1,128,4,16384,-1,-1,1,1671,3996,1965,441.5065,737757.3615
B200-SXM-192GB,bfloat16,gqa,2,1,128,8,16,-1,-1,1,52,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,8,32,-1,-1,1,64,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,8,64,-1,-1,1,77,3996,1965,483.215,37207.555
B200-SXM-192GB,bfloat16,gqa,2,1,128,8,128,-1,-1,1,53,3996,1965,0.0,0.0
B200-SXM-192GB,bfloat16,gqa,2,1,128,8,256,-1,-1,1,152,3996,1965,457.366,69519.632
