gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,16,-1,-1,1,51,2619,1980,113.816,5804.616
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,32,-1,-1,1,51,2619,1980,113.819,5804.769
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,64,-1,-1,1,51,2619,1980,113.819,5804.769
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,128,-1,-1,1,56,2619,1980,113.844,6375.263999999999
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,256,-1,-1,1,69,2619,1980,113.844,7855.236
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,512,-1,-1,1,59,2619,1980,113.846,6716.914000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,1024,-1,-1,1,53,2619,1980,113.846,6033.838
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,2048,-1,-1,1,53,2619,1980,113.956,6039.668000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,4096,-1,-1,1,76,2619,1980,114.683,8715.908000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,6144,-1,-1,1,103,2619,1980,114.683,11812.349
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,8192,-1,-1,1,213,2619,1980,120.802,25730.826
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,12288,-1,-1,1,492,2619,1980,120.802,59434.584
H100-SXM-80GB,bfloat16,gqa,2,1,128,1,16384,-1,-1,1,712,2619,1980,132.767,94530.10399999999
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,16,-1,-1,1,54,2619,1980,159.973,8638.542000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,32,-1,-1,1,51,2619,1980,159.973,8158.6230000000005
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,64,-1,-1,1,52,2619,1980,161.981,8423.011999999999
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,128,-1,-1,1,53,2619,1980,161.981,8584.993
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,256,-1,-1,1,56,2619,1980,162.239,9085.384
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,512,-1,-1,1,66,2619,1980,162.239,10707.774
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,1024,-1,-1,1,61,2619,1980,163.499,9973.439
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,2048,-1,-1,1,55,2619,1980,164.013,9020.715
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,4096,-1,-1,1,113,2619,1980,164.013,18533.469
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,6144,-1,-1,1,239,2619,1980,167.823,40109.697
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,8192,-1,-1,1,349,2619,1980,167.823,58570.227000000006
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,12288,-1,-1,1,635,2619,1980,177.817,112913.795
H100-SXM-80GB,bfloat16,gqa,2,1,128,2,16384,-1,-1,1,1077,2619,1980,215.907,232531.839
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,16,-1,-1,1,58,2619,1980,228.245,13238.210000000001
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,32,-1,-1,1,55,2619,1980,242.255,13324.025
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,64,-1,-1,1,53,2619,1980,220.069,11663.657
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,128,-1,-1,1,53,2619,1980,220.069,11663.657
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,256,-1,-1,1,51,2619,1980,213.197,10873.047
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,512,-1,-1,1,58,2619,1980,213.197,12365.426
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,1024,-1,-1,1,58,2619,1980,211.695,12278.31
H100-SXM-80GB,bfloat16,gqa,2,1,128,4,2048,-1,-1,1,64,2619,1980,211.695,13548.48
