gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,11,4,3996,1965,211.62,846.48
B200-SXM-192GB,half,1,1,28,4,3996,1965,224.9325,899.73
B200-SXM-192GB,half,1,1,45,5,3996,1965,234.8565,1174.2824999999998
B200-SXM-192GB,half,1,1,62,4,3996,1965,243.7275,974.91
B200-SXM-192GB,half,1,1,79,4,3996,1965,249.4825,997.93
B200-SXM-192GB,half,1,1,96,4,3996,1965,249.4245,997.698
B200-SXM-192GB,half,1,1,113,5,3996,1965,249.444,1247.22
B200-SXM-192GB,half,1,1,384,6,3996,1965,249.444,1496.664
B200-SXM-192GB,half,1,1,2560,4,3996,1965,249.43133333333333,997.7253333333332
B200-SXM-192GB,half,1,1,4736,7,3996,1965,249.444,1746.108
B200-SXM-192GB,half,1,1,6912,5,3996,1965,249.444,1247.22
B200-SXM-192GB,half,1,1,9088,4,3996,1965,249.481,997.924
B200-SXM-192GB,half,1,1,11264,4,3996,1965,249.519,998.076
B200-SXM-192GB,half,1,1,13440,7,3996,1965,249.52466666666663,1746.6726666666666
B200-SXM-192GB,half,1,1,15616,4,3996,1965,249.521,998.084
B200-SXM-192GB,half,1,1,17792,4,3996,1965,249.52866666666668,998.1146666666668
B200-SXM-192GB,half,1,1,19968,4,3996,1965,249.5155,998.062
B200-SXM-192GB,half,1,1,22144,4,3996,1965,249.5465,998.186
B200-SXM-192GB,half,1,1,24320,4,3996,1965,249.611,998.444
B200-SXM-192GB,half,1,1,26496,4,3996,1965,249.64266666666663,998.5706666666666
B200-SXM-192GB,half,1,1,28672,5,3996,1965,249.665,1248.325
B200-SXM-192GB,half,1,1,30848,4,3996,1965,249.685,998.74
B200-SXM-192GB,half,1,1,33024,4,3996,1965,249.685,998.74
B200-SXM-192GB,half,1,1,35200,4,3996,1965,249.66666666666663,998.6666666666666
B200-SXM-192GB,half,1,1,37376,7,3996,1965,249.663,1747.641
B200-SXM-192GB,half,1,1,39552,6,3996,1965,249.696,1498.176
B200-SXM-192GB,half,1,1,41728,5,3996,1965,249.716,1248.58
B200-SXM-192GB,half,1,1,43904,4,3996,1965,249.735,998.94
B200-SXM-192GB,half,1,1,46080,5,3996,1965,249.77050000000003,1248.8525000000002
B200-SXM-192GB,half,1,1,48256,4,3996,1965,249.80333333333337,999.2133333333336
B200-SXM-192GB,half,1,1,50432,4,3996,1965,249.849,999.396
B200-SXM-192GB,half,1,1,52608,4,3996,1965,249.81,999.24
B200-SXM-192GB,half,1,1,54784,4,3996,1965,249.7903333333333,999.1613333333332
B200-SXM-192GB,half,1,1,56960,5,3996,1965,249.76266666666663,1248.8133333333333
B200-SXM-192GB,half,1,1,59136,4,3996,1965,249.754,999.016
B200-SXM-192GB,half,1,1,61312,4,3996,1965,249.773,999.092
B200-SXM-192GB,half,1,1,63488,5,3996,1965,249.76433333333333,1248.8216666666667
B200-SXM-192GB,half,1,2,11,4,3996,1965,249.77966666666663,999.1186666666666
B200-SXM-192GB,half,1,2,28,5,3996,1965,249.75833333333333,1248.7916666666663
B200-SXM-192GB,half,1,2,45,4,3996,1965,249.73433333333327,998.9373333333332
B200-SXM-192GB,half,1,2,62,4,3996,1965,249.72366666666667,998.8946666666668
B200-SXM-192GB,half,1,2,79,4,3996,1965,249.73033333333333,998.9213333333332
B200-SXM-192GB,half,1,2,96,4,3996,1965,249.741,998.964
B200-SXM-192GB,half,1,2,113,4,3996,1965,249.69233333333327,998.7693333333332
B200-SXM-192GB,half,1,2,384,4,3996,1965,249.722,998.888
B200-SXM-192GB,half,1,2,2560,4,3996,1965,249.71,998.84
B200-SXM-192GB,half,1,2,4736,4,3996,1965,249.737,998.948
B200-SXM-192GB,half,1,2,6912,4,3996,1965,249.793,999.172
B200-SXM-192GB,half,1,2,9088,4,3996,1965,249.7995,999.198
B200-SXM-192GB,half,1,2,11264,4,3996,1965,249.811,999.244
B200-SXM-192GB,half,1,2,13440,4,3996,1965,249.831,999.324
B200-SXM-192GB,half,1,2,15616,4,3996,1965,249.801,999.204
B200-SXM-192GB,half,1,2,17792,6,3996,1965,249.786,1498.716
B200-SXM-192GB,half,1,2,19968,4,3996,1965,249.808,999.232
B200-SXM-192GB,half,1,2,22144,4,3996,1965,249.811,999.244
B200-SXM-192GB,half,1,2,24320,4,3996,1965,249.832,999.328
B200-SXM-192GB,half,1,2,26496,5,3996,1965,249.862,1249.31
B200-SXM-192GB,half,1,2,28672,4,3996,1965,249.85800000000003,999.432
B200-SXM-192GB,half,1,2,30848,4,3996,1965,249.83666666666667,999.3466666666668
B200-SXM-192GB,half,1,2,33024,4,3996,1965,249.837,999.348
B200-SXM-192GB,half,1,2,35200,4,3996,1965,249.824,999.296
B200-SXM-192GB,half,1,2,37376,4,3996,1965,249.832,999.328
B200-SXM-192GB,half,1,2,39552,6,3996,1965,249.824,1498.944
B200-SXM-192GB,half,1,2,41728,4,3996,1965,249.845,999.38
B200-SXM-192GB,half,1,2,43904,4,3996,1965,249.862,999.448
B200-SXM-192GB,half,1,2,46080,4,3996,1965,249.85800000000003,999.432
B200-SXM-192GB,half,1,2,48256,4,3996,1965,249.87866666666665,999.5146666666666
B200-SXM-192GB,half,1,2,50432,4,3996,1965,249.936,999.744
B200-SXM-192GB,half,1,2,52608,4,3996,1965,249.96733333333336,999.8693333333334
B200-SXM-192GB,half,1,2,54784,6,3996,1965,249.94566666666665,1499.674
B200-SXM-192GB,half,1,2,56960,4,3996,1965,249.96766666666667,999.8706666666668
B200-SXM-192GB,half,1,2,59136,5,3996,1965,249.95,1249.75
B200-SXM-192GB,half,1,2,61312,5,3996,1965,249.897,1249.485
B200-SXM-192GB,half,1,2,63488,5,3996,1965,249.912,1249.56
B200-SXM-192GB,half,1,4,11,5,3996,1965,249.922,1249.61
B200-SXM-192GB,half,1,4,28,6,3996,1965,249.9055,1499.433
B200-SXM-192GB,half,1,4,45,4,3996,1965,249.909,999.636
B200-SXM-192GB,half,1,4,62,4,3996,1965,249.90666666666667,999.6266666666668
B200-SXM-192GB,half,1,4,79,4,3996,1965,249.88700000000003,999.548
B200-SXM-192GB,half,1,4,96,5,3996,1965,249.899,1249.495
B200-SXM-192GB,half,1,4,113,4,3996,1965,249.904,999.616
B200-SXM-192GB,half,1,4,384,5,3996,1965,249.899,1249.495
B200-SXM-192GB,half,1,4,2560,4,3996,1965,249.912,999.648
B200-SXM-192GB,half,1,4,4736,5,3996,1965,249.912,1249.56
B200-SXM-192GB,half,1,4,6912,5,3996,1965,249.899,1249.495
B200-SXM-192GB,half,1,4,9088,4,3996,1965,249.93266666666668,999.7306666666668
B200-SXM-192GB,half,1,4,11264,6,3996,1965,249.967,1499.802
B200-SXM-192GB,half,1,4,13440,4,3996,1965,249.936,999.744
B200-SXM-192GB,half,1,4,15616,7,3996,1965,249.938,1749.5659999999998
