gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,fp8,1,16,16,10,3996,1965,215.612,2156.12
B200-SXM-192GB,fp8,1,16,32,11,3996,1965,215.612,2371.732
B200-SXM-192GB,fp8,1,16,48,9,3996,1965,221.222,1990.998
B200-SXM-192GB,fp8,1,16,64,8,3996,1965,221.222,1769.776
B200-SXM-192GB,fp8,1,16,80,9,3996,1965,226.168,2035.512
B200-SXM-192GB,fp8,1,16,96,10,3996,1965,226.168,2261.6800000000003
B200-SXM-192GB,fp8,1,16,112,9,3996,1965,230.93,2078.37
B200-SXM-192GB,fp8,1,16,128,8,3996,1965,230.93,1847.44
B200-SXM-192GB,fp8,1,16,256,8,3996,1965,235.689,1885.512
B200-SXM-192GB,fp8,1,16,384,8,3996,1965,235.689,1885.512
B200-SXM-192GB,fp8,1,16,512,9,3996,1965,240.454,2164.086
B200-SXM-192GB,fp8,1,16,640,8,3996,1965,240.454,1923.632
B200-SXM-192GB,fp8,1,16,768,9,3996,1965,245.21,2206.89
B200-SXM-192GB,fp8,1,16,896,9,3996,1965,245.21,2206.89
B200-SXM-192GB,fp8,1,16,1024,8,3996,1965,249.598,1996.784
B200-SXM-192GB,fp8,1,16,1152,8,3996,1965,249.598,1996.784
B200-SXM-192GB,fp8,1,16,1280,9,3996,1965,249.616,2246.5440000000003
B200-SXM-192GB,fp8,1,16,1408,9,3996,1965,249.616,2246.5440000000003
B200-SXM-192GB,fp8,1,16,1536,8,3996,1965,249.546,1996.368
B200-SXM-192GB,fp8,1,16,1664,9,3996,1965,249.546,2245.914
B200-SXM-192GB,fp8,1,16,1792,8,3996,1965,249.502,1996.016
B200-SXM-192GB,fp8,1,16,1920,8,3996,1965,249.502,1996.016
B200-SXM-192GB,fp8,1,16,2048,9,3996,1965,249.472,2245.248
B200-SXM-192GB,fp8,1,16,2176,9,3996,1965,249.472,2245.248
B200-SXM-192GB,fp8,1,16,2304,9,3996,1965,249.472,2245.248
B200-SXM-192GB,fp8,1,16,2432,9,3996,1965,249.472,2245.248
B200-SXM-192GB,fp8,1,16,2560,8,3996,1965,249.523,1996.184
B200-SXM-192GB,fp8,1,16,2688,8,3996,1965,249.561,1996.488
B200-SXM-192GB,fp8,1,16,2816,8,3996,1965,249.561,1996.488
B200-SXM-192GB,fp8,1,16,2944,9,3996,1965,249.604,2246.436
B200-SXM-192GB,fp8,1,16,3072,9,3996,1965,249.604,2246.436
B200-SXM-192GB,fp8,1,16,3200,8,3996,1965,249.681,1997.448
B200-SXM-192GB,fp8,1,16,3328,9,3996,1965,249.681,2247.129
B200-SXM-192GB,fp8,1,16,3456,9,3996,1965,249.736,2247.624
B200-SXM-192GB,fp8,1,16,3584,9,3996,1965,249.736,2247.624
B200-SXM-192GB,fp8,1,16,3712,9,3996,1965,249.77,2247.9300000000003
B200-SXM-192GB,fp8,1,16,3840,9,3996,1965,249.77,2247.9300000000003
B200-SXM-192GB,fp8,1,16,3968,9,3996,1965,249.795,2248.155
B200-SXM-192GB,fp8,1,16,4096,9,3996,1965,249.795,2248.155
B200-SXM-192GB,fp8,1,16,4224,9,3996,1965,249.824,2248.416
B200-SXM-192GB,fp8,1,16,4352,9,3996,1965,249.824,2248.416
B200-SXM-192GB,fp8,1,16,4480,9,3996,1965,249.839,2248.551
B200-SXM-192GB,fp8,1,16,4608,9,3996,1965,249.839,2248.551
B200-SXM-192GB,fp8,1,16,4736,8,3996,1965,249.811,1998.488
B200-SXM-192GB,fp8,1,16,4864,9,3996,1965,249.811,2248.299
B200-SXM-192GB,fp8,1,16,4992,9,3996,1965,249.811,2248.299
B200-SXM-192GB,fp8,1,16,5120,9,3996,1965,249.811,2248.299
B200-SXM-192GB,fp8,1,16,5248,9,3996,1965,249.793,2248.137
B200-SXM-192GB,fp8,1,16,5376,8,3996,1965,249.793,1998.344
B200-SXM-192GB,fp8,1,16,5504,9,3996,1965,249.777,2247.993
B200-SXM-192GB,fp8,1,16,5632,9,3996,1965,249.777,2247.993
B200-SXM-192GB,fp8,1,16,5760,9,3996,1965,249.764,2247.876
B200-SXM-192GB,fp8,1,16,5888,9,3996,1965,249.764,2247.876
B200-SXM-192GB,fp8,1,16,6016,9,3996,1965,249.767,2247.903
B200-SXM-192GB,fp8,1,16,6144,9,3996,1965,249.767,2247.903
B200-SXM-192GB,fp8,1,16,6272,9,3996,1965,249.764,2247.876
B200-SXM-192GB,fp8,1,16,6400,9,3996,1965,249.764,2247.876
B200-SXM-192GB,fp8,1,16,6528,8,3996,1965,249.805,1998.44
B200-SXM-192GB,fp8,1,16,6656,9,3996,1965,249.805,2248.245
B200-SXM-192GB,fp8,1,16,6784,10,3996,1965,249.838,2498.38
B200-SXM-192GB,fp8,1,16,6912,9,3996,1965,249.875,2248.875
B200-SXM-192GB,fp8,1,16,7040,9,3996,1965,249.875,2248.875
B200-SXM-192GB,fp8,1,16,7168,9,3996,1965,249.927,2249.343
B200-SXM-192GB,fp8,1,16,7296,9,3996,1965,249.927,2249.343
B200-SXM-192GB,fp8,1,16,7424,9,3996,1965,249.927,2249.343
B200-SXM-192GB,fp8,1,16,7552,9,3996,1965,249.927,2249.343
B200-SXM-192GB,fp8,1,16,7680,10,3996,1965,249.961,2499.61
B200-SXM-192GB,fp8,1,16,7808,9,3996,1965,249.961,2249.6490000000003
B200-SXM-192GB,fp8,1,16,7936,9,3996,1965,249.968,2249.712
B200-SXM-192GB,fp8,1,16,8064,9,3996,1965,249.968,2249.712
B200-SXM-192GB,fp8,1,16,8192,9,3996,1965,249.975,2249.775
B200-SXM-192GB,fp8,1,16,8320,9,3996,1965,249.975,2249.775
B200-SXM-192GB,fp8,1,16,8448,9,3996,1965,249.963,2249.667
B200-SXM-192GB,fp8,1,16,8576,9,3996,1965,249.963,2249.667
B200-SXM-192GB,fp8,1,16,8704,9,3996,1965,249.95,2249.55
B200-SXM-192GB,fp8,1,16,8832,9,3996,1965,249.95,2249.55
B200-SXM-192GB,fp8,1,16,8960,9,3996,1965,249.942,2249.478
B200-SXM-192GB,fp8,1,16,9088,9,3996,1965,249.942,2249.478
B200-SXM-192GB,fp8,1,16,9216,9,3996,1965,249.904,2249.136
B200-SXM-192GB,fp8,1,16,9344,9,3996,1965,249.904,2249.136
B200-SXM-192GB,fp8,1,16,9472,9,3996,1965,249.909,2249.181
B200-SXM-192GB,fp8,1,16,9600,10,3996,1965,249.909,2499.09
B200-SXM-192GB,fp8,1,16,9728,8,3996,1965,249.909,1999.272
B200-SXM-192GB,fp8,1,16,9856,9,3996,1965,249.909,2249.181
B200-SXM-192GB,fp8,1,16,9984,9,3996,1965,249.922,2249.298
