gpu,dtype,op,world_size,size_bytes,time_us
B200-SXM-192GB,bfloat16,allreduce,2,1024,25.394605472683907
B200-SXM-192GB,bfloat16,allreduce,2,16384,19.765138858929276
B200-SXM-192GB,bfloat16,allreduce,2,65536,24.121341994032264
B200-SXM-192GB,bfloat16,allreduce,2,262144,16.4741650223732
B200-SXM-192GB,bfloat16,allreduce,2,1048576,16.586389392614365
B200-SXM-192GB,bfloat16,allreduce,2,1572864,55.56131737672688
B200-SXM-192GB,bfloat16,allreduce,2,2097152,19.968021661043167
B200-SXM-192GB,bfloat16,allreduce,2,3145728,37.62888418963927
B200-SXM-192GB,bfloat16,allreduce,2,4194304,36.80866211652756
B200-SXM-192GB,bfloat16,allreduce,2,6291456,38.83978899787454
B200-SXM-192GB,bfloat16,allreduce,2,8388608,40.89437425136566
B200-SXM-192GB,bfloat16,allreduce,2,12582912,47.5911533131319
B200-SXM-192GB,bfloat16,allreduce,2,16777216,52.98107862472534
B200-SXM-192GB,bfloat16,allreduce,2,25165824,66.16683233351934
B200-SXM-192GB,bfloat16,allreduce,2,33554432,81.3901424407959
B200-SXM-192GB,bfloat16,allreduce,2,67108864,152.3047685623169
B200-SXM-192GB,bfloat16,allreduce,2,134217728,1116.1327362060547
B200-SXM-192GB,bfloat16,allreduce,2,268435456,523.7340927124023
B200-SXM-192GB,bfloat16,allreduce,2,536870912,1009.0112686157228
B200-SXM-192GB,bfloat16,allreduce,2,1073741824,1916.0032272338867
B200-SXM-192GB,bfloat16,alltoall,2,1024,31.182426027953625
B200-SXM-192GB,bfloat16,alltoall,2,16384,27.51703141257167
B200-SXM-192GB,bfloat16,alltoall,2,65536,27.823320124298334
B200-SXM-192GB,bfloat16,alltoall,2,262144,27.15963637456298
B200-SXM-192GB,bfloat16,alltoall,2,1048576,24.22160468995571
B200-SXM-192GB,bfloat16,alltoall,2,1572864,24.128169957493757
B200-SXM-192GB,bfloat16,alltoall,2,2097152,24.43743869662285
B200-SXM-192GB,bfloat16,alltoall,2,3145728,25.43667544367726
B200-SXM-192GB,bfloat16,alltoall,2,4194304,24.27864819765091
B200-SXM-192GB,bfloat16,alltoall,2,6291456,24.81376423555262
B200-SXM-192GB,bfloat16,alltoall,2,8388608,31.441450119018555
B200-SXM-192GB,bfloat16,alltoall,2,12582912,40.48908458036534
B200-SXM-192GB,bfloat16,alltoall,2,16777216,49.78105425834656
B200-SXM-192GB,bfloat16,alltoall,2,25165824,479.7265643165225
B200-SXM-192GB,bfloat16,alltoall,2,33554432,74.86343383789062
B200-SXM-192GB,bfloat16,alltoall,2,67108864,131.72626495361328
B200-SXM-192GB,bfloat16,alltoall,2,134217728,231.14681243896484
B200-SXM-192GB,bfloat16,alltoall,2,268435456,433.96949768066406
B200-SXM-192GB,bfloat16,alltoall,2,536870912,816.3928985595703
B200-SXM-192GB,bfloat16,alltoall,2,1073741824,1262.4263763427734
B200-SXM-192GB,bfloat16,allgather,2,1024,16.22171839699149
B200-SXM-192GB,bfloat16,allgather,2,16384,22.101827198639512
B200-SXM-192GB,bfloat16,allgather,2,65536,18.59909389168024
B200-SXM-192GB,bfloat16,allgather,2,262144,19.9910718947649
B200-SXM-192GB,bfloat16,allgather,2,1048576,14.770543202757835
B200-SXM-192GB,bfloat16,allgather,2,1572864,15.070361475790701
B200-SXM-192GB,bfloat16,allgather,2,2097152,46.662986278533936
B200-SXM-192GB,bfloat16,allgather,2,3145728,20.943079526123764
B200-SXM-192GB,bfloat16,allgather,2,4194304,23.13777804374695
B200-SXM-192GB,bfloat16,allgather,2,6291456,28.266626245835248
B200-SXM-192GB,bfloat16,allgather,2,8388608,29.97554838657379
B200-SXM-192GB,bfloat16,allgather,2,12582912,34.158370074103864
B200-SXM-192GB,bfloat16,allgather,2,16777216,37.87130117416382
B200-SXM-192GB,bfloat16,allgather,2,25165824,44.78295644124349
B200-SXM-192GB,bfloat16,allgather,2,33554432,55.8122992515564
B200-SXM-192GB,bfloat16,allgather,2,67108864,100.98516941070557
B200-SXM-192GB,bfloat16,allgather,2,134217728,174.59392547607422
B200-SXM-192GB,bfloat16,allgather,2,268435456,347.44739532470703
B200-SXM-192GB,bfloat16,allgather,2,536870912,619.7929382324219
B200-SXM-192GB,bfloat16,allgather,2,1073741824,1191.7829513549805
B200-SXM-192GB,bfloat16,reducescatter,2,1024,21.3557796087116
B200-SXM-192GB,bfloat16,reducescatter,2,16384,18.748571164906025
B200-SXM-192GB,bfloat16,reducescatter,2,65536,18.46312079578638
B200-SXM-192GB,bfloat16,reducescatter,2,262144,21.84690674766898
B200-SXM-192GB,bfloat16,reducescatter,2,1048576,15.788478776812553
B200-SXM-192GB,bfloat16,reducescatter,2,1572864,21.413973699217316
B200-SXM-192GB,bfloat16,reducescatter,2,2097152,42.0939177274704
B200-SXM-192GB,bfloat16,reducescatter,2,3145728,19.961438220966595
B200-SXM-192GB,bfloat16,reducescatter,2,4194304,21.321699023246765
B200-SXM-192GB,bfloat16,reducescatter,2,6291456,26.200799381031707
B200-SXM-192GB,bfloat16,reducescatter,2,8388608,103.81080210208893
B200-SXM-192GB,bfloat16,reducescatter,2,12582912,33.0812790814568
B200-SXM-192GB,bfloat16,reducescatter,2,16777216,37.00330853462219
B200-SXM-192GB,bfloat16,reducescatter,2,25165824,46.258880978538876
B200-SXM-192GB,bfloat16,reducescatter,2,33554432,56.28913640975952
B200-SXM-192GB,bfloat16,reducescatter,2,67108864,106.72211647033691
B200-SXM-192GB,bfloat16,reducescatter,2,134217728,187.87384033203125
B200-SXM-192GB,bfloat16,reducescatter,2,268435456,349.0924835205078
B200-SXM-192GB,bfloat16,reducescatter,2,536870912,651.3595581054688
B200-SXM-192GB,bfloat16,reducescatter,2,1073741824,1250.1955032348633
B200-SXM-192GB,bfloat16,sendrecv,2,1024,20.43962012976408
B200-SXM-192GB,bfloat16,sendrecv,2,16384,24.574139388278127
B200-SXM-192GB,bfloat16,sendrecv,2,65536,20.138773834332824
B200-SXM-192GB,bfloat16,sendrecv,2,262144,24.397217202931643
B200-SXM-192GB,bfloat16,sendrecv,2,1048576,17.76311546564102
B200-SXM-192GB,bfloat16,sendrecv,2,1572864,18.032764759231522
B200-SXM-192GB,bfloat16,sendrecv,2,2097152,18.14868301153183
B200-SXM-192GB,bfloat16,sendrecv,2,3145728,119.30158061365927
B200-SXM-192GB,bfloat16,sendrecv,2,4194304,18.452294170856476
B200-SXM-192GB,bfloat16,sendrecv,2,6291456,21.175777210908777
B200-SXM-192GB,bfloat16,sendrecv,2,8388608,58.95830690860748
B200-SXM-192GB,bfloat16,sendrecv,2,12582912,32.730663523954505
B200-SXM-192GB,bfloat16,sendrecv,2,16777216,37.278980016708374
B200-SXM-192GB,bfloat16,sendrecv,2,25165824,51.311084202357705
B200-SXM-192GB,bfloat16,sendrecv,2,33554432,72.65061140060425
B200-SXM-192GB,bfloat16,sendrecv,2,67108864,121.1017370223999
B200-SXM-192GB,bfloat16,sendrecv,2,134217728,250.2918243408203
B200-SXM-192GB,bfloat16,sendrecv,2,268435456,485.8255386352539
B200-SXM-192GB,bfloat16,sendrecv,2,536870912,777.9836654663086
B200-SXM-192GB,bfloat16,sendrecv,2,1073741824,1537.6567840576172
B200-SXM-192GB,bfloat16,allreduce,4,1024,29.186601750552654
B200-SXM-192GB,bfloat16,allreduce,4,16384,23.489119485020638
B200-SXM-192GB,bfloat16,allreduce,4,65536,23.366708774119616
B200-SXM-192GB,bfloat16,allreduce,4,262144,27.444330044090748
B200-SXM-192GB,bfloat16,allreduce,4,1048576,35.104574635624886
B200-SXM-192GB,bfloat16,allreduce,4,1572864,39.308651451491194
B200-SXM-192GB,bfloat16,allreduce,4,2097152,26.592519134283066
B200-SXM-192GB,bfloat16,allreduce,4,3145728,30.723135492319237
B200-SXM-192GB,bfloat16,allreduce,4,4194304,37.008896470069885
B200-SXM-192GB,bfloat16,allreduce,4,6291456,74.75263932171991
B200-SXM-192GB,bfloat16,allreduce,4,8388608,46.48976027965546
B200-SXM-192GB,bfloat16,allreduce,4,12582912,144.58544114056755
B200-SXM-192GB,bfloat16,allreduce,4,16777216,70.2589750289917
B200-SXM-192GB,bfloat16,allreduce,4,25165824,107.78790428524925
B200-SXM-192GB,bfloat16,allreduce,4,33554432,118.73245239257812
B200-SXM-192GB,bfloat16,allreduce,4,67108864,691.2350654602051
B200-SXM-192GB,bfloat16,allreduce,4,134217728,1508.7604522705078
