gpu,dtype,op,world_size,size_bytes,time_us
H100-SXM-80GB,bfloat16,allreduce,2,1024,27.540256269276142
H100-SXM-80GB,bfloat16,allreduce,2,16384,22.19111775048077
H100-SXM-80GB,bfloat16,allreduce,2,65536,26.00761945359409
H100-SXM-80GB,bfloat16,allreduce,2,262144,26.58891025930643
H100-SXM-80GB,bfloat16,allreduce,2,1048576,19.538914784789085
H100-SXM-80GB,bfloat16,allreduce,2,1572864,19.961088633607208
H100-SXM-80GB,bfloat16,allreduce,2,2097152,28.41046079993248
H100-SXM-80GB,bfloat16,allreduce,2,3145728,30.316914980712173
H100-SXM-80GB,bfloat16,allreduce,2,4194304,33.31247717142105
H100-SXM-80GB,bfloat16,allreduce,2,6291456,39.62096045998966
H100-SXM-80GB,bfloat16,allreduce,2,8388608,46.66857421398163
H100-SXM-80GB,bfloat16,allreduce,2,12582912,150.79554389504827
H100-SXM-80GB,bfloat16,allreduce,2,16777216,76.90116763114929
H100-SXM-80GB,bfloat16,allreduce,2,25165824,106.18709382556735
H100-SXM-80GB,bfloat16,allreduce,2,33554432,138.43923807144165
H100-SXM-80GB,bfloat16,allreduce,2,67108864,250.01168251037598
H100-SXM-80GB,bfloat16,allreduce,2,134217728,468.46866607666016
H100-SXM-80GB,bfloat16,allreduce,2,268435456,886.0111236572266
H100-SXM-80GB,bfloat16,allreduce,2,536870912,1701.807975769043
H100-SXM-80GB,bfloat16,allreduce,2,1073741824,3229.5703887939453
H100-SXM-80GB,bfloat16,alltoall,2,1024,32.64789120294154
H100-SXM-80GB,bfloat16,alltoall,2,16384,32.65542909502983
H100-SXM-80GB,bfloat16,alltoall,2,65536,33.984717447310686
H100-SXM-80GB,bfloat16,alltoall,2,262144,31.898205634206533
H100-SXM-80GB,bfloat16,alltoall,2,1048576,28.27262505888939
H100-SXM-80GB,bfloat16,alltoall,2,1572864,31.948788774328147
H100-SXM-80GB,bfloat16,alltoall,2,2097152,62.59186193346977
H100-SXM-80GB,bfloat16,alltoall,2,3145728,28.21169990248694
H100-SXM-80GB,bfloat16,alltoall,2,4194304,28.995797038078308
H100-SXM-80GB,bfloat16,alltoall,2,6291456,28.639681199017694
H100-SXM-80GB,bfloat16,alltoall,2,8388608,30.523166060447693
H100-SXM-80GB,bfloat16,alltoall,2,12582912,42.791927562040435
H100-SXM-80GB,bfloat16,alltoall,2,16777216,53.40948700904846
H100-SXM-80GB,bfloat16,alltoall,2,25165824,67.15456644694011
H100-SXM-80GB,bfloat16,alltoall,2,33554432,81.74031972885132
H100-SXM-80GB,bfloat16,alltoall,2,67108864,142.3656940460205
H100-SXM-80GB,bfloat16,alltoall,2,134217728,273.0846405029297
H100-SXM-80GB,bfloat16,alltoall,2,268435456,508.57067108154297
H100-SXM-80GB,bfloat16,alltoall,2,536870912,967.1688079833984
H100-SXM-80GB,bfloat16,alltoall,2,1073741824,1712.346076965332
H100-SXM-80GB,bfloat16,allgather,2,1024,20.729581592604518
H100-SXM-80GB,bfloat16,allgather,2,16384,25.119283236563206
H100-SXM-80GB,bfloat16,allgather,2,65536,21.115760318934917
H100-SXM-80GB,bfloat16,allgather,2,262144,26.58000448718667
H100-SXM-80GB,bfloat16,allgather,2,1048576,18.680235370993614
H100-SXM-80GB,bfloat16,allgather,2,1572864,18.808499109710066
H100-SXM-80GB,bfloat16,allgather,2,2097152,70.90391591191292
H100-SXM-80GB,bfloat16,allgather,2,3145728,24.451538264926228
H100-SXM-80GB,bfloat16,allgather,2,4194304,26.574358344078064
H100-SXM-80GB,bfloat16,allgather,2,6291456,31.13886889289407
H100-SXM-80GB,bfloat16,allgather,2,8388608,36.094337701797485
H100-SXM-80GB,bfloat16,allgather,2,12582912,45.899783863740815
H100-SXM-80GB,bfloat16,allgather,2,16777216,56.024640798568726
H100-SXM-80GB,bfloat16,allgather,2,25165824,74.55689566476005
H100-SXM-80GB,bfloat16,allgather,2,33554432,92.84913539886475
H100-SXM-80GB,bfloat16,allgather,2,67108864,159.5616340637207
H100-SXM-80GB,bfloat16,allgather,2,134217728,295.0906753540039
H100-SXM-80GB,bfloat16,allgather,2,268435456,553.4887313842773
H100-SXM-80GB,bfloat16,allgather,2,536870912,1049.9954223632812
H100-SXM-80GB,bfloat16,allgather,2,1073741824,1969.2420959472656
H100-SXM-80GB,bfloat16,reducescatter,2,1024,22.51492696814239
H100-SXM-80GB,bfloat16,reducescatter,2,16384,25.680579710751772
